URL, DATE Scraped, Type, Product Category, Product Name , Current Price , Old Price, Position, Product Number, Product Color, Product Description, Number of Reviews, Star Rating, Free Shipping Indicator, Number of Photos 
https://www.vanharen.nl/NL/nl/shop/home-dames/home-dames-schoenen/home-dames-schoenen-sneakers/00003001468949/Glide*Colorway.prod?filter-color=1&imgFmt=&filter-brand=reebok&filter-brand=puma&filter-brand=adidas&filter-brand=nike&orderby=new&_=1522842680964&campaign=facebook%2F2018%2Fdark-post%2Fongoing%2Fprospecting%2Fdesktop%2Ffb%2Fnewsfeed%2Fmidden-segment-vrouwen%2Fwitte-sneakers-dames&fromCategoryDetail=true&positionInList=1,6-8-2018,Product Page,Damesschoenen,Glide Colorway,49.99,NA,1, 1715441, wit,NA,NA,NA,NA,1
https://www.vanharen.nl/NL/nl/shop/home-dames/home-dames-schoenen/home-dames-schoenen-sneakers/00003001468949/Glide*Colorway.prod?filter-color=1&imgFmt=&filter-brand=reebok&filter-brand=puma&filter-brand=adidas&filter-brand=nike&orderby=new&_=1522842680964&campaign=facebook%2F2018%2Fdark-post%2Fongoing%2Fprospecting%2Fdesktop%2Ffb%2Fnewsfeed%2Fmidden-segment-vrouwen%2Fwitte-sneakers-dames&fromCategoryDetail=true&positionInList=1,6-8-2018,Product Page,Damesschoenen,Glide Colorway,49.99,NA,1, 1715441, wit,NA,NA,NA,NA,1
https://www.vanharen.nl/NL/nl/shop/home-sport/home-sport-sale/00003001483279/Witte*sneaker*memory*foam.prod?positionInList=2&fromCategoryDetail=true,6-8-2018,Product Page,Sale,Witte sneaker memory foam,20.99,29.90,1, 1102374, wit,NA,NA,NA,NA,1
