URL, DATE Scraped, Type, Product Category, Product Name , Current Price , Old Price, Position, Product Number, Product Color, Product Description, Number of Reviews, Star Rating, Free Shipping Indicator, Number of Photos 
http://www.voetbalshop.nl/fanshop/ajax.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=233729_linkgenerator_,7-16-2018,List Page,Ajax,adidas Ajax Thuisbroekje 2018-2019 Kids,34.95,NA,6,CF5469,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/fanshop/ajax.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=233729_linkgenerator_,7-16-2018,List Page,Ajax,adidas Ajax Thuissokken 2018-2019,12.99,NA,7,DJ0933,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/fanshop/ajax.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=233729_linkgenerator_,7-16-2018,List Page,Ajax,adidas Ajax Uitshirt 2018-2019,89.99,NA,8,CF5468,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/fanshop/ajax.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=233729_linkgenerator_,7-16-2018,List Page,Ajax,adidas Ajax Uitshirt 2018-2019 Kids,69.99,NA,9,CF5466,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/fanshop/ajax.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=233729_linkgenerator_,7-16-2018,List Page,Ajax,adidas Ajax Minikit Uit 2018-2019 ,64.99,NA,10,CF5465,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nieuw.html,7-16-2018,List Page,Nieuw,Nike Mercurial Vapor 12 Club PS (V) Neymar JR FG MG Kids Amarillo White Black,44.99,NA,1,AO2897-710,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nieuw.html,7-16-2018,List Page,Nieuw,Nike Mercurial VaporX 12 Academy Neymar JR Indoor Kids Amarillo White Black,59.99,NA,2,AO9474-710,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nieuw.html,7-16-2018,List Page,Nieuw,Nike Mercurial VaporX 12 Academy PS Neymar JR Indoor Kids Amarillo White Black,59.99,NA,3,AO2899-710,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nieuw.html,7-16-2018,List Page,Nieuw,Nike Mercurial VaporX 12 PRO Neymar JR Indoor Amarillo White Black,109.99,NA,4,AO4496-710,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nieuw.html,7-16-2018,List Page,Nieuw,Nike Mercurial VaporX 12 Academy Neymar JR Indoor Amarillo White Black,79.99,NA,5,AO3122-710,NA,NA,NA,NA,NA,1
